isbn,title,genre,author,datePublished
978-0-45-152493-5,1984,Dystopian Ficiton,George Orwell,01.01.1961
978-0-345-45374-7,Hitchhiker's Guide to the Galaxy,Science Fiction,Douglas Adams,08.12.1979
978-1-451-67331-9,Fahrenheit 451,American Literature,Ray Bradbury,19.10.1953
978-1-338-59670-0,Harry Potter and the Sorcerer's Stone,Fantasy,J.K. Rowling,06.26.1997
978-0-345-81602-3,12 Rules for Life: An Antidote to Chaos,Applied Psychology,Jordan B. Peterson,01.16.2018
